Month,Rank,Title,Author,Publisher,Sales Point,Publication Month
3월,82,불편한 편의점 2 (단풍 에디션),김호연,나무옆의자,"55,894",2022년 8월
3월,83,나는 소망한다 내게 금지된 것을,양귀자,쓰다,"41,368",2019년 4월
3월,84,마음 (모노 에디션),나쓰메 소세키,열린책들,"3,705",2024년 3월
3월,85,누굴 죽였을까,정해연,북다,"3,516",2024년 2월
3월,86,북마녀의 웹소설 장면 묘사 실습 강의,북마녀,요다,세일즈 포인트 정보 없음,2024년 3월
3월,88,금단의 마술,히가시노 게이고,재인,"9,853",2024년 2월
3월,89,황금종이 1,조정래,해냄,"29,287",2023년 11월
3월,90,스토너,존 윌리엄스,알에이치코리아(RHK),세일즈 포인트 정보 없음,2015년 1월
3월,91,달과 6펜스,서머싯 몸,민음사,"46,094",2000년 6월
3월,93,악스트 Axt 2024.3.4,악스트 편집부,은행나무,세일즈 포인트 정보 없음,2024년 3월
3월,94,고잉 홈,문지혁,문학과지성사,"2,481",2024년 2월
3월,95,갈아 만든 천국,심너울,래빗홀,"2,227",2024년 3월
3월,96,보스턴 사람들,헨리 제임스,은행나무,세일즈 포인트 정보 없음,2024년 2월
3월,97,아가미,구병모,위즈덤하우스,세일즈 포인트 정보 없음,2018년 3월
3월,98,고백의 이유,서은수,파란(파란미디어),세일즈 포인트 정보 없음,2024년 3월
3월,99,트러스트,에르난 디아스,문학동네,"19,691",2023년 2월
3월,100,지구 끝의 온실,김초엽,자이언트북스,"45,617",2021년 8월
4월,1,2024 제15회 젊은작가상 수상작품집,김멜라,문학동네,"40,429",2024년 3월
4월,2,I의 비극,요네자와 호노부,내친구의서재,"8,345",2024년 4월
4월,3,삼체 1~3 세트 - 전3권,류츠신,자음과모음,"37,575",2020년 7월
4월,5,이처럼 사소한 것들,클레어 키건,다산책방,"236,370",2023년 11월
4월,6,철도원 삼대,황석영,창비,"26,812",2020년 6월
4월,7,내일의 으뜸,김빵,다향,"16,254",2020년 7월
4월,8,흐르는 강물처럼,셸리 리드,다산책방,"44,205",2024년 1월
4월,9,삼체 1부 : 삼체문제,류츠신,자음과모음,"22,163",2022년 2월
4월,10,나의 돈키호테,김호연,나무옆의자,"34,665",2024년 4월
4월,13,모순,양귀자,쓰다,"165,396",2013년 4월
4월,15,맡겨진 소녀,클레어 키건,다산책방,"86,363",2023년 4월
4월,16,정욕,아사이 료,리드비,"9,530",2024년 3월
4월,17,파과 (리커버),구병모,위즈덤하우스,"39,243",2018년 4월
4월,18,일러두기,조경란,문학사상,세일즈 포인트 정보 없음,2024년 4월
4월,19,페이스,이희영,현대문학,"5,075",2024년 3월
4월,21,무직전생 26 + 무직전생 스페셜북 합본 세트 - 전2권,리후진 나 마고노테,학산문화사(라이트노벨),세일즈 포인트 정보 없음,2024년 4월
4월,22,사에즈리 도서관의 와루츠 씨,코교쿠 이즈키,알토북스,세일즈 포인트 정보 없음,2024년 5월
4월,24,원도,최진영,한겨레출판,세일즈 포인트 정보 없음,2024년 3월
4월,25,도시와 그 불확실한 벽,무라카미 하루키,문학동네,세일즈 포인트 정보 없음,2023년 9월
4월,26,데미안 (오리지널 초판본 표지디자인),헤르만 헤세,코너스톤,"93,420",2017년 1월
4월,27,구의 증명,최진영,은행나무,"70,465",2023년 4월
4월,28,다 하지 못한 말,임경선,토스트,"8,103",2024년 3월
4월,30,후린의 아이들 + 박스,존 로널드 루엘 톨킨,arte(아르테),"1,137",2024년 5월
4월,31,아주 희미한 빛으로도,최은영,문학동네,"79,454",2023년 8월
4월,32,남은 인생 10년,코사카 루카,모모,"11,793",2024년 3월
4월,33,불편한 편의점 (벚꽃 에디션),김호연,나무옆의자,"186,097",2021년 4월
4월,34,"어서 오세요, 휴남동 서점입니다 (일본서점대상 수상기념 리커버)",황보름,클레이하우스,세일즈 포인트 정보 없음,2022년 1월
4월,35,분실물이 돌아왔습니다,김혜정,오리지널스,"9,317",2024년 2월
4월,36,피아노 조율사,궈창성,민음사,세일즈 포인트 정보 없음,2024년 4월
4월,37,인간 실격,다자이 오사무,민음사,"81,492",2004년 5월
4월,38,마음을 맡기는 보관가게 1,오야마 준코,모모,세일즈 포인트 정보 없음,2024년 3월
4월,39,아가미 (리커버),구병모,위즈덤하우스,"25,674",2018년 3월
