월,순위,제목,저자,출판사,판매지수,출판 년월
7,92,주인공의 구원자가 될 운명입니다 4,은소로,연담,판매지수 246,2024년 04월
7,93,주인공의 구원자가 될 운명입니다 2,은소로,연담,판매지수 294,2024년 04월
7,94,주인공의 구원자가 될 운명입니다 1,은소로,연담,판매지수 282,2024년 04월
7,95,무림세가 천대받는 손녀 딸이 되었다 3,마루별,연담,판매지수 492,2023년 03월
7,96,악녀라서 편하고 좋은데요? 4,망고킴,연담,판매지수 528,2023년 01월
7,97,악녀라서 편하고 좋은데요? 2,망고킴,연담,판매지수 552,2023년 01월
7,98,악녀라서 편하고 좋은데요? 1,망고킴,연담,판매지수 534,2023년 01월
7,99,러브 레터,이와이 슌지,하빌리스,"판매지수 2,130",2022년 11월
7,100,재혼황후 5,알파타르트,해피북스투유,"판매지수 1,140",2021년 03월
8,1,네가 유성처럼 스러지는 모습을 지켜볼 운명이었다,미나토 쇼,필름,"판매지수 15,198",2024년 07월
8,2,말하고 싶은 비밀,사쿠라 이이요,모모,"판매지수 37,827",2023년 12월
8,3,말하고 싶은 비밀 Vol.2,사쿠라 이이요,모모,"판매지수 15,480",2024년 07월
8,4,"오늘 밤, 거짓말의 세계에서 잊을 수 없는 사랑을",이치조 미사키,모모,"판매지수 28,656",2023년 11월
8,5,남은 인생 10년,고사카 루카,모모,"판매지수 29,397",2024년 03월
8,6,내일의 으뜸,김빵,다향,"판매지수 57,792",2024년 05월
8,7,재와 물거품,김청귤,안전가옥,"판매지수 18,366",2021년 05월
8,8,나와 너의 365일,유이하,모모,"판매지수 17,976",2023년 03월
8,9,해피엔딩에서 너를 기다릴게,산다 치에,알에이치코리아(RHK),"판매지수 13,239",2023년 01월
8,10,미 비포 유,조조 모예스,다산책방,"판매지수 13,452",2024년 04월
8,11,내게 빌어봐 박스 세트 리미티드 에디션,리베냐,마카롱,"판매지수 1,902",2024년 08월
8,12,너의 췌장을 먹고 싶어 (일반판),스미노 요루,소미미디어,"판매지수 11,436",2017년 04월
8,13,"나는 내일, 어제의 너와 만난다",나나츠키 타카후미,영상출판미디어,"판매지수 10,890",2016년 02월
8,14,너는 달밤에 빛나고,사노 테츠야,디앤씨미디어(D&C미디어),"판매지수 9,828",2018년 04월
8,15,사랑 후에 오는 것들 세트,공지영,소담출판사,"판매지수 38,745",2024년 08월
8,16,"보지 못하는 너에게, 보이지 않는 내가",니노마에 아키라,모모,"판매지수 4,374",2024년 04월
8,17,노트북,니콜라스 스파크스,모모,"판매지수 13,983",2024년 05월
8,18,"거짓말이 보이는 나는, 솔직한 너에게 사랑을 했다",사쿠라이 미나,제우미디어,"판매지수 5,652",2019년 08월
8,19,러브 어페어 1~4 세트,이유진,파란 (파란미디어),"판매지수 3,306",2024년 07월
8,20,봄그늘 1~5 세트,김차차,파란 (파란미디어),"판매지수 5,916",2024년 02월
8,21,일주일 만에 사랑할 순 없다,김동식,요다,"판매지수 4,278",2020년 03월
8,22,위시,니콜라스 스파크스,모모,"판매지수 11,676",2023년 12월
8,23,이토록 완벽한 실종,줄리안 맥클린,해피북스투유,"판매지수 3,600",2023년 12월
8,24,너와 만날 수 있었던 4%의 기적,히로세 미이,제우미디어,"판매지수 4,644",2019년 05월
8,25,개를 데리고 다니는 남자,김화진,북다,"판매지수 1,704",2024년 06월
8,26,나의 사내연애 이야기,장진영,북다,판매지수 726,2024년 07월
8,27,사랑하는 나의 억압자 1~4 세트,서사희,블라썸,"판매지수 2,052",2024년 05월
8,28,그것은 벚꽃 같은 사랑이었다,히로세 미이,제우미디어,"판매지수 2,724",2019년 03월
8,29,21세기 마지막 첫사랑,김빵,자이언트북스,"판매지수 3,540",2024년 05월
8,30,이 세계에서 너와 두 번째 첫사랑을,모치즈키 쿠라게,북스토리,"판매지수 2,256",2020년 04월
8,31,나는 너에게 10년 치의 『    』을 전하고 싶어,아마노 아타루,제우미디어,"판매지수 2,172",2019년 10월
8,32,동백꽃 핀 자리 1~3 세트,서은수,파란 (파란미디어),"판매지수 1,818",2024년 04월
8,33,고백의 이유,서은수,파란 (파란미디어),"판매지수 4,578",2024년 03월
8,34,"빨강, 파랑, 어쨌든 찬란",케이시 맥퀴스턴,살림출판사,"판매지수 1,758",2021년 07월
